"TimeUTC","timestampInMs","requestPath","requestMethod","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId"
"2025-02-22 06:16:43",1740205003864,"xrat10-bwdvign7p-matts-projects-9588f051.vercel.app/favicon.png","GET",-1,"9crnj-1740205003816-de573d05b446","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36","info","production","main","MISS","lambda","/app/main.py","xrat10-bwdvign7p-matts-projects-9588f051.vercel.app","xrat10-bwdvign7p-matts-projects-9588f051.vercel.app","dpl_5vhdcaYxDC2i7rh14KJBJpxgz3tf",-1,"iad1",-1,-1,"127.0.0.1 - - [22/Feb/2025 06:16:43] ""GET /favicon.png HTTP/1.1"" 404 -","prj_noXmdz2jLxCp19l8K04wcC7ZjxCS"
"2025-02-22 06:16:43",1740205003850,"xrat10-bwdvign7p-matts-projects-9588f051.vercel.app/favicon.png","GET",404,"9crnj-1740205003816-de573d05b446","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36","warning","production","main","MISS","lambda","/app/main.py","xrat10-bwdvign7p-matts-projects-9588f051.vercel.app","xrat10-bwdvign7p-matts-projects-9588f051.vercel.app","dpl_5vhdcaYxDC2i7rh14KJBJpxgz3tf",3,"iad1",141,1769,"","prj_noXmdz2jLxCp19l8K04wcC7ZjxCS"
"2025-02-22 06:16:43",1740205003779,"xrat10-bwdvign7p-matts-projects-9588f051.vercel.app/favicon.ico","GET",-1,"9crnj-1740205003729-efb839dfda94","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36","info","production","main","MISS","lambda","/app/main.py","xrat10-bwdvign7p-matts-projects-9588f051.vercel.app","xrat10-bwdvign7p-matts-projects-9588f051.vercel.app","dpl_5vhdcaYxDC2i7rh14KJBJpxgz3tf",-1,"iad1",-1,-1,"127.0.0.1 - - [22/Feb/2025 06:16:43] ""GET /favicon.ico HTTP/1.1"" 404 -","prj_noXmdz2jLxCp19l8K04wcC7ZjxCS"
"2025-02-22 06:16:43",1740205003764,"xrat10-bwdvign7p-matts-projects-9588f051.vercel.app/favicon.ico","GET",404,"9crnj-1740205003729-efb839dfda94","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36","warning","production","main","MISS","lambda","/app/main.py","xrat10-bwdvign7p-matts-projects-9588f051.vercel.app","xrat10-bwdvign7p-matts-projects-9588f051.vercel.app","dpl_5vhdcaYxDC2i7rh14KJBJpxgz3tf",3,"iad1",141,1769,"","prj_noXmdz2jLxCp19l8K04wcC7ZjxCS"
"2025-02-22 06:16:43",1740205003440,"xrat10-bwdvign7p-matts-projects-9588f051.vercel.app/","GET",-1,"9crnj-1740205003275-9d96febd3bf4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36","info","production","main","MISS","lambda","/app/main.py","xrat10-bwdvign7p-matts-projects-9588f051.vercel.app","xrat10-bwdvign7p-matts-projects-9588f051.vercel.app","dpl_5vhdcaYxDC2i7rh14KJBJpxgz3tf",-1,"iad1",-1,-1,"127.0.0.1 - - [22/Feb/2025 06:16:43] ""GET / HTTP/1.1"" 200 -","prj_noXmdz2jLxCp19l8K04wcC7ZjxCS"
"2025-02-22 06:16:43",1740205003425,"xrat10-bwdvign7p-matts-projects-9588f051.vercel.app/","GET",200,"9crnj-1740205003275-9d96febd3bf4","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36","info","production","main","MISS","lambda","/app/main.py","xrat10-bwdvign7p-matts-projects-9588f051.vercel.app","xrat10-bwdvign7p-matts-projects-9588f051.vercel.app","dpl_5vhdcaYxDC2i7rh14KJBJpxgz3tf",3,"iad1",141,1769,"","prj_noXmdz2jLxCp19l8K04wcC7ZjxCS"
"2025-02-22 06:16:34",1740204994923,"xrat10.vercel.app/auth/twitter","GET",-1,"qnrx7-1740204994891-65ba894c203c","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","info","production","main","MISS","lambda","/app/main.py","xrat10.vercel.app","xrat10.vercel.app","dpl_5vhdcaYxDC2i7rh14KJBJpxgz3tf",-1,"iad1",-1,-1,"127.0.0.1 - - [22/Feb/2025 06:16:34] ""GET /auth/twitter HTTP/1.1"" 404 -","prj_noXmdz2jLxCp19l8K04wcC7ZjxCS"
"2025-02-22 06:16:34",1740204994909,"xrat10.vercel.app/auth/twitter","GET",404,"qnrx7-1740204994891-65ba894c203c","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","warning","production","main","MISS","lambda","/app/main.py","xrat10.vercel.app","xrat10.vercel.app","dpl_5vhdcaYxDC2i7rh14KJBJpxgz3tf",3,"iad1",141,1769,"","prj_noXmdz2jLxCp19l8K04wcC7ZjxCS"
"2025-02-22 06:16:28",1740204988427,"xrat10.vercel.app/login","GET",-1,"728fz-1740204988391-8df349db3c39","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","info","production","main","MISS","lambda","/app/main.py","xrat10.vercel.app","xrat10.vercel.app","dpl_5vhdcaYxDC2i7rh14KJBJpxgz3tf",-1,"iad1",-1,-1,"127.0.0.1 - - [22/Feb/2025 06:16:28] ""GET /login HTTP/1.1"" 200 -","prj_noXmdz2jLxCp19l8K04wcC7ZjxCS"
"2025-02-22 06:16:28",1740204988407,"xrat10.vercel.app/login","GET",200,"728fz-1740204988391-8df349db3c39","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36","info","production","main","MISS","lambda","/app/main.py","xrat10.vercel.app","xrat10.vercel.app","dpl_5vhdcaYxDC2i7rh14KJBJpxgz3tf",5,"iad1",141,1769,"","prj_noXmdz2jLxCp19l8K04wcC7ZjxCS"
